iter	Passed	Remaining
0	176	176510
1	184	92026
2	189	63027
3	194	48430
4	200	39882
5	205	33965
6	212	30208
7	215	26744
8	218	24070
9	221	21948
10	226	20365
11	229	18867
12	231	17588
13	234	16498
14	238	15684
15	241	14851
16	244	14110
17	246	13448
18	248	12808
19	250	12279
20	252	11781
21	254	11303
22	255	10863
23	257	10459
24	258	10090
25	260	9748
26	261	9434
27	264	9194
28	266	8938
29	268	8673
30	269	8427
31	270	8195
32	272	7976
33	273	7772
34	274	7576
35	276	7393
36	277	7225
37	280	7097
38	281	6943
39	283	6792
40	284	6650
41	285	6515
42	286	6386
43	288	6262
44	289	6143
45	290	6030
46	294	5964
47	295	5865
48	297	5765
49	298	5668
50	300	5584
51	301	5493
52	302	5407
53	303	5324
54	305	5244
55	308	5194
56	310	5129
57	311	5057
58	313	4995
59	314	4927
60	315	4861
61	317	4797
62	318	4736
63	319	4675
64	322	4632
65	323	4583
66	325	4528
67	326	4480
68	328	4429
69	329	4377
70	330	4328
71	332	4279
72	333	4232
73	334	4187
74	337	4162
75	339	4124
76	340	4081
77	341	4041
78	343	4001
79	344	3962
80	345	3922
81	347	3885
82	347	3842
83	349	3807
84	352	3790
85	353	3760
86	355	3726
87	356	3693
88	358	3668
89	360	3640
90	361	3611
91	362	3582
92	364	3554
93	369	3557
94	370	3529
95	372	3505
96	374	3482
97	375	3458
98	377	3432
99	378	3406
100	379	3380
101	382	3368
102	384	3345
103	385	3320
104	387	3299
105	388	3276
106	389	3253
107	391	3230
108	392	3206
109	393	3185
110	396	3174
111	398	3158
112	399	3137
113	401	3118
114	402	3099
115	404	3079
116	405	3057
117	406	3037
118	407	3018
119	408	2999
120	411	2990
121	413	2973
122	414	2955
123	415	2937
124	417	2919
125	418	2901
126	419	2882
127	420	2866
128	422	2850
129	423	2833
130	426	2830
131	428	2817
132	429	2803
133	431	2787
134	432	2772
135	433	2756
136	435	2741
137	436	2726
138	437	2711
139	439	2697
140	442	2693
141	443	2677
142	444	2664
143	446	2652
144	447	2640
145	449	2627
146	450	2614
147	451	2601
148	453	2588
149	457	2593
150	459	2582
151	461	2573
152	462	2561
153	464	2550
154	465	2539
155	467	2527
156	468	2517
157	471	2511
158	472	2501
159	474	2491
160	475	2478
161	477	2467
162	478	2457
163	480	2446
164	481	2437
165	486	2443
166	487	2433
167	489	2423
168	490	2413
169	492	2403
170	493	2393
171	495	2383
172	496	2375
173	500	2374
174	501	2366
175	503	2357
176	506	2354
177	508	2347
178	509	2337
179	511	2328
180	512	2319
181	515	2316
182	517	2308
183	518	2299
184	519	2290
185	521	2280
186	522	2271
187	523	2262
188	525	2253
189	526	2244
190	527	2235
191	530	2233
192	532	2225
193	533	2216
194	534	2207
195	536	2199
196	537	2190
197	538	2182
198	540	2174
199	541	2165
200	544	2163
201	546	2157
202	547	2149
203	548	2141
204	550	2133
205	551	2125
206	552	2117
207	553	2109
208	555	2102
209	556	2094
210	559	2093
211	561	2087
212	563	2080
213	564	2072
214	565	2065
215	566	2057
216	568	2050
217	569	2042
218	570	2035
219	572	2028
220	575	2028
221	577	2022
222	578	2015
223	579	2008
224	580	2001
225	582	1994
226	583	1987
227	584	1980
228	586	1973
229	589	1972
230	590	1967
231	592	1961
232	593	1954
233	595	1949
234	597	1943
235	598	1936
236	599	1930
237	600	1923
238	603	1922
239	605	1917
240	606	1911
241	608	1904
242	609	1898
243	610	1892
244	612	1886
245	613	1880
246	614	1873
247	615	1867
248	618	1866
249	620	1861
250	621	1855
251	623	1849
252	624	1843
253	625	1837
254	627	1832
255	628	1826
256	629	1820
257	631	1814
258	634	1814
259	635	1809
260	636	1803
261	638	1798
262	639	1792
263	640	1787
264	642	1781
265	643	1775
266	644	1770
267	647	1769
268	649	1765
269	650	1759
270	652	1754
271	653	1749
272	654	1743
273	656	1738
274	657	1733
275	658	1727
276	660	1722
277	663	1722
278	664	1718
279	666	1713
280	667	1708
281	668	1702
282	670	1697
283	671	1692
284	673	1688
285	674	1683
286	676	1679
287	678	1677
288	680	1673
289	681	1669
290	683	1665
291	684	1660
292	686	1655
293	687	1650
294	688	1646
295	692	1645
296	693	1641
297	695	1637
298	696	1632
299	697	1627
300	699	1623
301	700	1618
302	701	1613
303	702	1609
304	704	1604
305	707	1604
306	709	1600
307	710	1596
308	711	1591
309	713	1587
310	714	1582
311	715	1578
312	717	1573
313	718	1569
314	719	1565
315	722	1564
316	724	1560
317	725	1555
318	726	1551
319	728	1547
320	729	1542
321	730	1538
322	731	1534
323	733	1529
324	735	1526
325	738	1527
326	740	1524
327	742	1520
328	743	1516
329	745	1513
330	746	1509
331	747	1504
332	749	1501
333	752	1499
334	753	1496
335	755	1492
336	756	1488
337	757	1484
338	759	1480
339	760	1475
340	761	1471
341	763	1468
342	766	1467
343	767	1464
344	769	1460
345	770	1456
346	771	1452
347	773	1448
348	774	1444
349	775	1440
350	776	1436
351	778	1432
352	781	1431
353	783	1429
354	784	1425
355	786	1422
356	787	1418
357	788	1414
358	790	1411
359	791	1407
360	792	1403
361	795	1402
362	797	1399
363	798	1395
364	800	1392
365	801	1388
366	802	1384
367	804	1381
368	805	1377
369	806	1373
370	808	1370
371	811	1369
372	812	1365
373	813	1362
374	815	1358
375	816	1355
376	817	1351
377	819	1348
378	820	1344
379	821	1340
380	823	1338
381	826	1336
382	827	1333
383	828	1329
384	830	1326
385	831	1322
386	832	1319
387	834	1316
388	835	1312
389	837	1309
390	839	1308
391	841	1305
392	842	1301
393	844	1298
394	845	1295
395	846	1291
396	848	1288
397	849	1284
398	850	1281
399	852	1278
400	855	1277
401	856	1274
402	857	1270
403	859	1267
404	860	1264
405	861	1260
406	862	1257
407	864	1253
408	865	1250
409	866	1247
410	870	1247
411	872	1245
412	873	1241
413	875	1238
414	876	1235
415	877	1231
416	878	1228
417	880	1225
418	881	1222
419	884	1221
420	886	1219
421	888	1216
422	890	1214
423	891	1211
424	892	1208
425	894	1204
426	895	1201
427	897	1199
428	899	1197
429	900	1194
430	902	1191
431	903	1188
432	904	1184
433	906	1181
434	907	1178
435	908	1175
436	910	1172
437	913	1171
438	915	1169
439	916	1166
440	917	1163
441	919	1160
442	920	1157
443	921	1154
444	922	1151
445	924	1148
446	925	1144
447	928	1144
448	930	1142
449	932	1139
450	933	1136
451	935	1134
452	936	1131
453	938	1128
454	939	1125
455	944	1127
456	948	1126
457	950	1125
458	952	1123
459	961	1128
460	965	1128
461	967	1126
462	969	1124
463	975	1127
464	977	1124
465	979	1122
466	981	1119
467	982	1116
468	983	1113
469	985	1110
470	986	1108
471	989	1107
472	991	1104
473	993	1102
474	995	1099
475	996	1096
476	998	1094
477	999	1091
478	1001	1089
479	1005	1089
480	1007	1086
481	1010	1085
482	1011	1083
483	1013	1081
484	1015	1078
485	1019	1078
486	1020	1075
487	1022	1072
488	1023	1069
489	1025	1066
490	1026	1064
491	1027	1061
492	1029	1058
493	1030	1055
494	1034	1055
495	1036	1052
496	1037	1050
497	1039	1047
498	1040	1044
499	1042	1042
500	1043	1039
501	1045	1036
502	1049	1036
503	1050	1034
504	1052	1031
505	1054	1029
506	1055	1026
507	1057	1023
508	1058	1020
509	1059	1018
510	1061	1015
511	1063	1013
512	1065	1011
513	1066	1008
514	1069	1006
515	1070	1004
516	1072	1001
517	1073	998
518	1074	995
519	1075	993
520	1078	991
521	1080	989
522	1081	986
523	1083	983
524	1084	981
525	1085	978
526	1087	975
527	1088	972
528	1089	970
529	1092	969
530	1094	966
531	1095	963
532	1097	961
533	1098	958
534	1099	955
535	1100	953
536	1102	950
537	1103	947
538	1105	945
539	1108	944
540	1110	942
541	1111	939
542	1113	936
543	1114	934
544	1115	931
545	1117	928
546	1118	926
547	1119	923
548	1122	922
549	1124	920
550	1125	917
551	1127	914
552	1128	912
553	1129	909
554	1131	906
555	1132	904
556	1133	901
557	1135	899
558	1138	898
559	1139	895
560	1141	892
561	1142	890
562	1143	887
563	1144	885
564	1146	882
565	1147	879
566	1148	877
567	1152	876
568	1153	874
569	1155	871
570	1156	868
571	1158	867
572	1160	864
573	1161	862
574	1163	859
575	1164	857
576	1167	855
577	1169	853
578	1170	851
579	1172	848
580	1173	846
581	1174	843
582	1176	841
583	1177	838
584	1178	836
585	1181	834
586	1183	832
587	1184	830
588	1186	827
589	1187	825
590	1188	822
591	1190	820
592	1191	817
593	1192	815
594	1194	812
595	1196	811
596	1198	809
597	1199	806
598	1201	804
599	1202	801
600	1204	799
601	1205	796
602	1206	794
603	1207	791
604	1210	790
605	1212	788
606	1213	785
607	1214	783
608	1216	780
609	1217	778
610	1218	775
611	1220	773
612	1221	771
613	1223	769
614	1226	767
615	1228	765
616	1229	763
617	1230	760
618	1232	758
619	1233	755
620	1234	753
621	1235	751
622	1237	748
623	1239	747
624	1242	745
625	1243	743
626	1244	740
627	1246	738
628	1247	735
629	1248	733
630	1250	731
631	1251	728
632	1252	726
633	1256	725
634	1257	723
635	1259	720
636	1260	718
637	1261	715
638	1263	713
639	1264	711
640	1265	708
641	1267	706
642	1269	704
643	1271	702
644	1272	700
645	1274	698
646	1276	696
647	1277	693
648	1278	691
649	1280	689
650	1281	686
651	1283	685
652	1285	683
653	1286	680
654	1288	678
655	1289	676
656	1290	673
657	1292	671
658	1293	669
659	1294	667
660	1296	664
661	1299	663
662	1301	661
663	1303	659
664	1304	657
665	1306	655
666	1307	652
667	1309	650
668	1310	648
669	1311	646
670	1314	644
671	1316	642
672	1317	640
673	1319	638
674	1320	635
675	1321	633
676	1323	631
677	1324	628
678	1325	626
679	1328	625
680	1330	623
681	1331	620
682	1332	618
683	1334	616
684	1335	614
685	1337	611
686	1338	609
687	1339	607
688	1340	605
689	1343	603
690	1345	601
691	1347	599
692	1348	597
693	1349	595
694	1350	592
695	1352	590
696	1353	588
697	1355	586
698	1357	584
699	1359	582
700	1361	580
701	1362	578
702	1364	576
703	1365	574
704	1366	571
705	1368	569
706	1369	567
707	1370	565
708	1373	563
709	1375	561
710	1376	559
711	1377	557
712	1379	555
713	1380	552
714	1381	550
715	1383	548
716	1384	546
717	1386	544
718	1388	542
719	1390	540
720	1391	538
721	1392	536
722	1393	534
723	1395	531
724	1396	529
725	1397	527
726	1399	525
727	1402	523
728	1403	521
729	1405	519
730	1406	517
731	1407	515
732	1409	513
733	1410	511
734	1411	508
735	1412	506
736	1414	504
737	1417	503
738	1419	501
739	1420	499
740	1421	496
741	1422	494
742	1424	492
743	1425	490
744	1426	488
745	1428	486
746	1429	484
747	1432	482
748	1434	480
749	1436	478
750	1437	476
751	1438	474
752	1440	472
753	1441	470
754	1442	468
755	1443	466
756	1446	464
757	1448	462
758	1449	460
759	1451	458
760	1452	456
761	1453	454
762	1455	451
763	1456	449
764	1457	447
765	1460	446
766	1462	444
767	1464	442
768	1465	440
769	1467	438
770	1468	436
771	1469	434
772	1470	431
773	1472	429
774	1474	428
775	1476	426
776	1477	424
777	1479	422
778	1480	420
779	1482	418
780	1483	415
781	1484	413
782	1485	411
783	1487	409
784	1490	408
785	1492	406
786	1493	404
787	1494	402
788	1496	400
789	1497	398
790	1498	396
791	1500	394
792	1501	391
793	1504	390
794	1506	388
795	1507	386
796	1508	384
797	1510	382
798	1511	380
799	1512	378
800	1514	376
801	1515	374
802	1516	372
803	1519	370
804	1521	368
805	1522	366
806	1524	364
807	1525	362
808	1526	360
809	1528	358
810	1529	356
811	1530	354
812	1532	352
813	1535	350
814	1536	348
815	1538	346
816	1539	344
817	1540	342
818	1542	340
819	1543	338
820	1544	336
821	1546	334
822	1548	333
823	1551	331
824	1552	329
825	1554	327
826	1555	325
827	1557	323
828	1558	321
829	1559	319
830	1561	317
831	1563	315
832	1565	313
833	1567	311
834	1568	309
835	1569	307
836	1571	306
837	1572	304
838	1573	302
839	1575	300
840	1576	298
841	1579	296
842	1581	294
843	1582	292
844	1583	290
845	1584	288
846	1586	286
847	1587	284
848	1588	282
849	1590	280
850	1591	278
851	1594	276
852	1596	275
853	1597	273
854	1598	271
855	1600	269
856	1601	267
857	1602	265
858	1604	263
859	1605	261
860	1606	259
861	1610	257
862	1611	255
863	1612	253
864	1614	251
865	1615	249
866	1616	248
867	1618	246
868	1619	244
869	1620	242
870	1623	240
871	1625	238
872	1627	236
873	1628	234
874	1629	232
875	1631	230
876	1632	228
877	1634	227
878	1635	225
879	1638	223
880	1640	221
881	1642	219
882	1644	217
883	1645	215
884	1646	213
885	1647	212
886	1649	210
887	1650	208
888	1653	206
889	1655	204
890	1656	202
891	1658	200
892	1659	198
893	1661	196
894	1662	195
895	1663	193
896	1665	191
897	1667	189
898	1670	187
899	1671	185
900	1672	183
901	1675	181
902	1676	180
903	1678	178
904	1680	176
905	1684	174
906	1685	172
907	1687	170
908	1688	169
909	1689	167
910	1691	165
911	1692	163
912	1693	161
913	1695	159
914	1698	157
915	1699	155
916	1701	153
917	1702	152
918	1703	150
919	1705	148
920	1706	146
921	1707	144
922	1709	142
923	1710	140
924	1713	138
925	1715	137
926	1716	135
927	1717	133
928	1719	131
929	1720	129
930	1722	127
931	1723	125
932	1724	123
933	1726	121
934	1729	120
935	1730	118
936	1732	116
937	1733	114
938	1734	112
939	1736	110
940	1737	108
941	1738	107
942	1740	105
943	1743	103
944	1745	101
945	1746	99
946	1748	97
947	1749	95
948	1751	94
949	1752	92
950	1753	90
951	1755	88
952	1758	86
953	1759	84
954	1761	82
955	1762	81
956	1764	79
957	1765	77
958	1766	75
959	1767	73
960	1769	71
961	1770	69
962	1773	68
963	1774	66
964	1776	64
965	1777	62
966	1779	60
967	1780	58
968	1782	57
969	1783	55
970	1784	53
971	1788	51
972	1789	49
973	1791	47
974	1792	45
975	1793	44
976	1795	42
977	1796	40
978	1798	38
979	1799	36
980	1802	34
981	1804	33
982	1805	31
983	1807	29
984	1808	27
985	1809	25
986	1811	23
987	1812	22
988	1813	20
989	1815	18
990	1818	16
991	1819	14
992	1820	12
993	1822	10
994	1823	9
995	1824	7
996	1826	5
997	1827	3
998	1828	1
999	1831	0
